datetime;value;WS10M
2023-01-16T00:00:00;53666,483;9,73
2023-01-17T00:00:00;52844,325;11,02
2023-01-18T00:00:00;62949,078;8,79
2023-01-19T00:00:00;56618,197;9,27
2023-01-20T00:00:00;70957,692;7,4
2023-01-21T00:00:00;75000,646;7,34
2023-01-22T00:00:00;71772,384;9,24
2023-01-23T00:00:00;75130,557;7,57
2023-01-24T00:00:00;49212,378;4,52
2023-01-25T00:00:00;60519,833;7,24
2023-01-26T00:00:00;76509,886;7,62
2023-01-27T00:00:00;76942,16;7,79
2023-01-28T00:00:00;78464,482;7,23
2023-01-29T00:00:00;51475,438;4,48
2023-01-30T00:00:00;33510,803;6,66
2023-01-31T00:00:00;62668,761;6,52
2023-02-01T00:00:00;51546,326;4,2
2023-02-02T00:00:00;16930,673;4,98
2023-02-03T00:00:00;11001,655;4,92
2023-02-04T00:00:00;49030,318;7,52
2023-02-05T00:00:00;65194,833;6,05
2023-02-06T00:00:00;32453,384;3,64
2023-02-07T00:00:00;4987,758;3,28
2023-02-08T00:00:00;2060,618;3,56
2023-02-09T00:00:00;1225,052;1,86
2023-02-10T00:00:00;1600,314;2,48
2023-02-11T00:00:00;2944,808;2,07
2023-02-12T00:00:00;3026,325;2,08
2023-02-13T00:00:00;4239,684;2,2
2023-02-14T00:00:00;9832,138;2,6
2023-02-15T00:00:00;3163,991;1,27
2023-02-16T00:00:00;142,211;1,83
2023-02-17T00:00:00;813,638;2,2
2023-02-18T00:00:00;503,937;1,68
2023-02-19T00:00:00;379,391;1,84
2023-02-20T00:00:00;4674,965;2,75
2023-02-21T00:00:00;4366,419;1,5
2023-02-22T00:00:00;8720,546;3,28
2023-02-23T00:00:00;13620,984;3,12
2023-02-24T00:00:00;3934,767;3,1
2023-02-25T00:00:00;19249,178;4,91
2023-02-26T00:00:00;64982,995;10,12
2023-02-27T00:00:00;74110,147;8,09
2023-02-28T00:00:00;72742,17;9,66
2023-03-01T00:00:00;55198,742;6,01
2023-03-02T00:00:00;68922,542;6,86
