YEAR,MO,DY,ALLSKY_SFC_SW_DWN
2023,1,16,1.81
2023,1,17,2.38
2023,1,18,3.35
2023,1,19,3.4
2023,1,20,1.91
2023,1,21,2.31
2023,1,22,3.76
2023,1,23,3.67
2023,1,24,3.52
2023,1,25,3.54
2023,1,26,2.72
2023,1,27,3.79
2023,1,28,3.8
2023,1,29,3.73
2023,1,30,3.75
2023,1,31,3.94
2023,2,1,3.95
2023,2,2,3.88
2023,2,3,4.05
2023,2,4,4.05
2023,2,5,4.14
2023,2,6,4.08
2023,2,7,2.42
2023,2,8,1.78
2023,2,9,3.94
2023,2,10,3.03
2023,2,11,3.62
2023,2,12,3.79
2023,2,13,4.16
2023,2,14,3.35
2023,2,15,3.16
2023,2,16,4.16
2023,2,17,2.57
2023,2,18,3.19
2023,2,19,3.16
2023,2,20,2.8
2023,2,21,3.85
2023,2,22,4.24
2023,2,23,4.49
2023,2,24,4.78
2023,2,25,3.62
2023,2,26,3.54
2023,2,27,5.02
2023,2,28,5.21
2023,3,1,5.33
2023,3,2,5.5
2023,3,3,5.46
2023,3,4,4.59
2023,3,5,2.01
2023,3,6,2.33
2023,3,7,3.19
2023,3,8,2.92
2023,3,9,2.38
2023,3,10,5.23
2023,3,11,4.28
2023,3,12,5.45
2023,3,13,5.42
2023,3,14,6.07
2023,3,15,6.01
2023,3,16,5.28
2023,3,17,4.91
2023,3,18,4.53
2023,3,19,6.09
2023,3,20,6.14
2023,3,21,5.97
2023,3,22,6.34
2023,3,23,6.38
2023,3,24,5.48
2023,3,25,6.3
2023,3,26,6.31
2023,3,27,5.49
2023,3,28,6.37
2023,3,29,6.5
2023,3,30,6.5
2023,3,31,5.88
2023,4,1,6.13
2023,4,2,7.05
2023,4,3,6.77
2023,4,4,4.79
2023,4,5,7.19
2023,4,6,6.46
2023,4,7,7.09
2023,4,8,7.14
2023,4,9,6.82
2023,4,10,6.65
2023,4,11,7.28
2023,4,12,6.75
2023,4,13,7.23
2023,4,14,7.05
2023,4,15,7.44
2023,4,16,7.47
2023,4,17,7.58
2023,4,18,7.46
2023,4,19,6.9
2023,4,20,7.5
2023,4,21,5.59
2023,4,22,6.5
2023,4,23,7.87
2023,4,24,7.76
2023,4,25,7.78
2023,4,26,7.86
2023,4,27,6.83
2023,4,28,5.86
2023,4,29,6.51
2023,4,30,5.56
2023,5,1,7.73
2023,5,2,6.56
2023,5,3,6.47
2023,5,4,7.64
2023,5,5,7.81
2023,5,6,7.95
2023,5,7,7.95
2023,5,8,6.8
2023,5,9,7.07
2023,5,10,7.84
2023,5,11,7.98
2023,5,12,8.19
2023,5,13,8.03
2023,5,14,7.93
2023,5,15,7.97
2023,5,16,7.47
2023,5,17,4.96
2023,5,18,5.43
2023,5,19,6.77
2023,5,20,4.88
2023,5,21,3.98
2023,5,22,2.98
2023,5,23,3.69
2023,5,24,6.33
2023,5,25,7.42
2023,5,26,6.03
2023,5,27,3.83
2023,5,28,4.6
2023,5,29,7.2
2023,5,30,7.27
2023,5,31,7.66
2023,6,1,5.76
2023,6,2,6.21
2023,6,3,6.97
2023,6,4,7.28
2023,6,5,7.92
2023,6,6,7.38
2023,6,7,4.85
2023,6,8,2.46
2023,6,9,5.5
2023,6,10,6.89
2023,6,11,8.03
2023,6,12,7.0
2023,6,13,7.81
2023,6,14,8.42
2023,6,15,8.53
2023,6,16,8.04
2023,6,17,8.12
2023,6,18,7.6
2023,6,19,7.25
2023,6,20,6.41
2023,6,21,7.33
2023,6,22,8.56
2023,6,23,8.42
2023,6,24,8.37
2023,6,25,8.31
2023,6,26,8.37
2023,6,27,8.23
2023,6,28,7.02
2023,6,29,7.63
2023,6,30,8.18
2023,7,1,8.07
2023,7,2,8.02
2023,7,3,8.29
2023,7,4,8.59
2023,7,5,7.7
2023,7,6,8.29
2023,7,7,8.35
2023,7,8,8.49
2023,7,9,8.17
2023,7,10,7.64
2023,7,11,7.68
2023,7,12,8.52
2023,7,13,8.51
2023,7,14,8.28
2023,7,15,8.5
2023,7,16,8.15
2023,7,17,7.9
2023,7,18,6.67
2023,7,19,7.23
2023,7,20,7.96
2023,7,21,8.37
2023,7,22,8.01
2023,7,23,7.6
2023,7,24,8.19
2023,7,25,8.39
2023,7,26,8.25
2023,7,27,8.26
2023,7,28,8.23
