datetime;value;ALLSKY_SFC_SW_DWN
2023-01-16T00:00:00;2712,82;1,81
2023-01-17T00:00:00;3744,092;2,38
2023-01-18T00:00:00;6866,897;3,35
2023-01-19T00:00:00;6227,734;3,4
2023-01-20T00:00:00;3806,451;1,91
2023-01-21T00:00:00;4477,177;2,31
2023-01-22T00:00:00;7799,996;3,76
2023-01-23T00:00:00;7927,642;3,67
2023-01-24T00:00:00;7300,857;3,52
2023-01-25T00:00:00;7763,845;3,54
2023-01-26T00:00:00;4562,929;2,72
2023-01-27T00:00:00;8019,786;3,79
2023-01-28T00:00:00;8523,588;3,8
2023-01-29T00:00:00;8543,719;3,73
2023-01-30T00:00:00;7877,87;3,75
2023-01-31T00:00:00;8530,046;3,94
2023-02-01T00:00:00;8660,354;3,95
2023-02-02T00:00:00;8465,097;3,88
2023-02-03T00:00:00;8867,061;4,05
2023-02-04T00:00:00;9301,736;4,05
2023-02-05T00:00:00;8714,622;4,14
2023-02-06T00:00:00;8769,477;4,08
2023-02-07T00:00:00;5360,748;2,42
2023-02-08T00:00:00;1431,084;1,78
2023-02-09T00:00:00;8429,065;3,94
2023-02-10T00:00:00;4452,808;3,03
2023-02-11T00:00:00;5975,128;3,62
2023-02-12T00:00:00;7430,268;3,79
2023-02-13T00:00:00;8144,552;4,16
2023-02-14T00:00:00;5057,705;3,35
2023-02-15T00:00:00;4672,256;3,16
2023-02-16T00:00:00;8656,316;4,16
2023-02-17T00:00:00;3228,887;2,57
2023-02-18T00:00:00;5802,399;3,19
2023-02-19T00:00:00;4662,756;3,16
2023-02-20T00:00:00;3434,044;2,8
2023-02-21T00:00:00;6598,641;3,85
2023-02-22T00:00:00;7811,876;4,24
2023-02-23T00:00:00;9302,412;4,49
2023-02-24T00:00:00;9636,397;4,78
2023-02-25T00:00:00;7530,68;3,62
2023-02-26T00:00:00;6271,496;3,54
2023-02-27T00:00:00;9997,087;5,02
2023-02-28T00:00:00;10970,711;5,21
2023-03-01T00:00:00;11546,042;5,33
2023-03-02T00:00:00;12241,451;5,5
2023-03-03T00:00:00;12160,183;5,46
2023-03-04T00:00:00;6431,51;4,59
2023-03-05T00:00:00;2855,566;2,01
2023-03-06T00:00:00;2413,603;2,33
2023-03-07T00:00:00;5227,889;3,19
2023-03-08T00:00:00;4382,701;2,92
2023-03-09T00:00:00;2763,029;2,38
2023-03-10T00:00:00;10281,224;5,23
2023-03-11T00:00:00;9567,509;4,28
2023-03-12T00:00:00;12161,955;5,45
2023-03-13T00:00:00;10398,531;5,42
2023-03-14T00:00:00;14010,026;6,07
2023-03-15T00:00:00;14147,79;6,01
2023-03-16T00:00:00;11219,919;5,28
2023-03-17T00:00:00;8658,567;4,91
2023-03-18T00:00:00;8307,27;4,53
2023-03-19T00:00:00;13801,371;6,09
2023-03-20T00:00:00;15098,891;6,14
2023-03-21T00:00:00;13958,64;5,97
2023-03-22T00:00:00;14788,124;6,34
2023-03-23T00:00:00;13811,979;6,38
2023-03-24T00:00:00;12914,595;5,48
2023-03-25T00:00:00;15058,044;6,3
2023-03-26T00:00:00;13535,404;6,31
2023-03-27T00:00:00;12177,862;5,49
2023-03-28T00:00:00;13936,035;6,37
2023-03-29T00:00:00;13509,075;6,5
2023-03-30T00:00:00;13248,293;6,5
2023-03-31T00:00:00;13605,632;5,88
2023-04-01T00:00:00;13125,212;6,13
2023-04-02T00:00:00;15113,667;7,05
2023-04-03T00:00:00;15806,217;6,77
2023-04-04T00:00:00;5699,322;4,79
2023-04-05T00:00:00;16543,75;7,19
2023-04-06T00:00:00;13450,507;6,46
2023-04-07T00:00:00;15966,79;7,09
2023-04-08T00:00:00;14936;7,14
2023-04-09T00:00:00;11733,266;6,82
2023-04-10T00:00:00;13331,628;6,65
2023-04-11T00:00:00;17097,476;7,28
2023-04-12T00:00:00;13109,286;6,75
2023-04-13T00:00:00;15059,777;7,23
2023-04-14T00:00:00;15098,153;7,05
2023-04-15T00:00:00;15610,577;7,44
2023-04-16T00:00:00;15596,336;7,47
2023-04-17T00:00:00;18139,336;7,58
2023-04-18T00:00:00;17968,194;7,46
2023-04-19T00:00:00;16358,978;6,9
