-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/16/2023 through 01/16/2024 
Location: Latitude  41.6494   Longitude -0.8922 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 368.55 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,WS10M
2023,1,16,9.73
2023,1,17,11.02
2023,1,18,8.79
2023,1,19,9.27
2023,1,20,7.4
2023,1,21,7.34
2023,1,22,9.24
2023,1,23,7.57
2023,1,24,4.52
2023,1,25,7.24
2023,1,26,7.62
2023,1,27,7.79
2023,1,28,7.23
2023,1,29,4.48
2023,1,30,6.66
2023,1,31,6.52
2023,2,1,4.2
2023,2,2,4.98
2023,2,3,4.92
2023,2,4,7.52
2023,2,5,6.05
2023,2,6,3.64
2023,2,7,3.28
2023,2,8,3.56
2023,2,9,1.86
2023,2,10,2.48
2023,2,11,2.07
2023,2,12,2.08
2023,2,13,2.2
2023,2,14,2.6
2023,2,15,1.27
2023,2,16,1.83
2023,2,17,2.2
2023,2,18,1.68
2023,2,19,1.84
2023,2,20,2.75
2023,2,21,1.5
2023,2,22,3.28
2023,2,23,3.12
2023,2,24,3.1
2023,2,25,4.91
2023,2,26,10.12
2023,2,27,8.09
2023,2,28,9.66
2023,3,1,6.01
2023,3,2,6.86
2023,3,3,6.12
2023,3,4,5.53
2023,3,5,4.05
2023,3,6,5.3
2023,3,7,5.31
2023,3,8,5.94
2023,3,9,6.09
2023,3,10,8.02
2023,3,11,7.05
2023,3,12,4.1
2023,3,13,5.65
2023,3,14,7.57
2023,3,15,3.32
2023,3,16,4.09
2023,3,17,3.41
2023,3,18,3.47
2023,3,19,5.45
2023,3,20,4.04
2023,3,21,2.52
2023,3,22,1.6
2023,3,23,2.95
2023,3,24,4.45
2023,3,25,3.86
2023,3,26,7.46
2023,3,27,6.41
2023,3,28,2.45
2023,3,29,1.8
2023,3,30,3.62
2023,3,31,7.04
2023,4,1,6.74
2023,4,2,10.87
2023,4,3,6.72
2023,4,4,5.58
2023,4,5,4.86
2023,4,6,3.25
2023,4,7,2.85
2023,4,8,2.86
2023,4,9,2.62
2023,4,10,4.59
2023,4,11,3.19
2023,4,12,7.14
2023,4,13,6.24
2023,4,14,6.52
2023,4,15,9.27
2023,4,16,6.91
2023,4,17,4.45
2023,4,18,2.45
2023,4,19,2.88
2023,4,20,2.89
2023,4,21,2.58
2023,4,22,2.14
2023,4,23,4.86
2023,4,24,3.57
2023,4,25,4.03
2023,4,26,2.72
2023,4,27,1.8
2023,4,28,2.86
2023,4,29,6.73
2023,4,30,8.3
2023,5,1,6.77
2023,5,2,2.78
2023,5,3,2.73
2023,5,4,1.88
2023,5,5,2.12
2023,5,6,2.35
2023,5,7,6.04
2023,5,8,5.99
2023,5,9,7.13
2023,5,10,8.02
2023,5,11,7.73
2023,5,12,7.54
2023,5,13,7.52
2023,5,14,8.91
2023,5,15,9.61
2023,5,16,9.59
2023,5,17,6.26
2023,5,18,6.89
2023,5,19,6.74
2023,5,20,4.6
2023,5,21,2.2
2023,5,22,1.91
2023,5,23,2.83
2023,5,24,2.74
2023,5,25,6.73
2023,5,26,4.07
2023,5,27,2.88
2023,5,28,2.4
2023,5,29,1.9
2023,5,30,2.14
2023,5,31,2.23
2023,6,1,2.88
2023,6,2,1.26
2023,6,3,1.17
2023,6,4,0.67
2023,6,5,0.98
2023,6,6,1.7
2023,6,7,2.67
2023,6,8,2.2
2023,6,9,4.31
2023,6,10,2.61
2023,6,11,1.91
2023,6,12,2.3
2023,6,13,4.88
2023,6,14,8.14
2023,6,15,6.02
2023,6,16,2.77
2023,6,17,2.05
2023,6,18,3.42
2023,6,19,3.59
2023,6,20,1.91
2023,6,21,1.75
2023,6,22,5.94
2023,6,23,5.36
2023,6,24,3.59
2023,6,25,3.8
2023,6,26,6.54
2023,6,27,6.69
2023,6,28,4.83
2023,6,29,7.44
2023,6,30,9.17
2023,7,1,7.52
2023,7,2,6.7
2023,7,3,4.03
2023,7,4,4.42
2023,7,5,4.29
2023,7,6,3.73
2023,7,7,4.73
2023,7,8,2.2
2023,7,9,2.26
2023,7,10,3.11
2023,7,11,3.05
2023,7,12,6.69
2023,7,13,5.42
2023,7,14,1.38
2023,7,15,4.69
2023,7,16,4.95
2023,7,17,3.64
2023,7,18,3.8
2023,7,19,6.2
2023,7,20,4.27
2023,7,21,7.69
2023,7,22,4.56
2023,7,23,2.0
2023,7,24,6.69
2023,7,25,8.1
2023,7,26,4.7
2023,7,27,2.17
2023,7,28,2.78
2023,7,29,2.91
2023,7,30,6.16
2023,7,31,5.52
2023,8,1,6.41
2023,8,2,4.62
2023,8,3,9.55
2023,8,4,9.06
2023,8,5,7.58
2023,8,6,7.69
2023,8,7,4.44
2023,8,8,1.98
2023,8,9,1.62
2023,8,10,5.97
2023,8,11,3.55
2023,8,12,2.0
2023,8,13,3.91
2023,8,14,4.45
2023,8,15,3.84
2023,8,16,5.11
2023,8,17,2.68
2023,8,18,1.73
2023,8,19,2.2
2023,8,20,1.87
2023,8,21,3.11
2023,8,22,2.12
2023,8,23,2.46
2023,8,24,2.52
2023,8,25,3.35
2023,8,26,4.59
2023,8,27,11.18
2023,8,28,9.79
2023,8,29,7.71
2023,8,30,6.48
2023,8,31,4.09
2023,9,1,3.16
2023,9,2,5.02
2023,9,3,7.37
2023,9,4,6.31
2023,9,5,3.41
2023,9,6,3.92
2023,9,7,3.67
2023,9,8,3.89
2023,9,9,4.01
2023,9,10,3.57
2023,9,11,2.01
2023,9,12,2.62
2023,9,13,4.66
2023,9,14,2.44
2023,9,15,2.82
2023,9,16,2.17
2023,9,17,2.63
2023,9,18,3.75
2023,9,19,3.47
2023,9,20,3.16
2023,9,21,4.94
2023,9,22,5.77
2023,9,23,3.81
2023,9,24,2.06
2023,9,25,2.31
2023,9,26,1.6
2023,9,27,1.62
2023,9,28,1.73
2023,9,29,1.48
2023,9,30,2.18
2023,10,1,2.32
2023,10,2,2.62
2023,10,3,3.3
2023,10,4,3.3
2023,10,5,1.76
2023,10,6,1.54
2023,10,7,1.66
2023,10,8,1.38
2023,10,9,1.34
2023,10,10,1.94
2023,10,11,1.64
2023,10,12,1.61
2023,10,13,1.81
2023,10,14,3.89
2023,10,15,4.43
2023,10,16,1.6
2023,10,17,3.18
2023,10,18,5.3
2023,10,19,5.71
2023,10,20,9.28
